abato	aba-to
elparolados	el-pa-rol-ad-os
elparolata	el-pa-rol-ata
elparoli	el-pa-roli
elparolitan	el-pa-rol-i-t-an
elpaŝadis	el-pa-ŝ-ad-is
elpendaĵo	el-pen-d-aĵo
elpensi	el-pen-si
elpensintaj	el-pen-sin-t-aj
elpensinto	el-pen-sin-to
elpensis	el-pen-sis
elpensitaj	el-pen-sit-aj
elpensiteco	el-pen-sit-eco
elpenso	el-pen-so
elpensoj	el-pen-soj
elportas	el-por-t-as
elportebla	el-por-t-eb-la
elporti	el-por-ti
elpremis	el-pre-m-is
elprenas	el-pre-n-as
elprenita	el-pre-n-ita
elprovita	el-pro-v-ita
elprovitan	el-pro-v-it-an
elpuŝis	el-pu-ŝ-is
elpuŝita	el-pu-ŝ-ita
elpuŝus	el-pu-ŝ-us
elrampi	el-ram-pi
elsalti	el-sal-ti
elskatole	el-ska-to-le
elspezi	el-spe-zi
elstarajn	el-sta-r-ajn
elŝpruci	el-ŝpru-ci
elŝveli	el-ŝve-li
eltiraĵo	el-tir-aĵo
eltiras	el-tir-as
eltiris	el-tir-is
eltiritaj	el-tir-it-aj
eltrovi	el-tro-vi
eltrovitan	el-tro-v-it-an
eltrovo	el-tro-vo
elturniĝi	el-tur-n-iĝi
eluzi	el-uzi
elveni	el-ve-ni
elvokos	el-vo-k-os
elvringon	el-vrin-g-on
emajlo	emaj-lo
emas	em-as
embaraso	em-ba-ra-so
emblemoj	em-ble-m-oj
emerito	eme-ri-to
emfizemo	em-fi-ze-mo
eminenta	emi-nen-ta
eminentaj	emi-nen-t-aj
eminjo	emi-njo
emocio	emo-cio
emon	em-on
emulsio	emul-sio
enamiĝus	ena-m-iĝ-us
endormiĝadus	en-dorm-iĝ-ad-us
energiaj	ener-gi-aj
energio	ener-gio
energion	ener-gi-on
energiŝpara	ener-gi-ŝpara
enestas	en-es-t-as
enestis	en-es-t-is
enfali	en-fa-li
englutas	en-glu-t-as
englutis	en-glu-t-is
engluton	en-glu-t-on
englutos	en-glu-t-os
enhavas	en-ha-v-as
enhavi	en-ha-vi
enhavo	en-ha-vo
enhavon	en-ha-v-on
enigmo	enig-mo
eniĝadi	en-iĝ-adi
eniĝi	en-iĝi
eniras	en-ir-as
eniri	en-iri
eniris	en-ir-is
eniros	en-ir-os
enirpaĝo	en-ir-pa-ĝo
eniru	en-iru
enketi	en-ke-ti
enketis	en-ke-t-is
enketo	en-ke-to
enketoj	en-ke-t-oj
enkondukas	en-kon-du-k-as
enkondukita	en-kon-du-k-ita
enkonduko	en-kon-du-ko
enkondukon	en-kon-du-k-on
enkondukos	en-kon-du-k-os
enlasi	en-la-si
enmalsanulejigi	en-mal-sa-n-ul-ej-igi
enman	en-m-an
enmane	en-mane
enmetas	en-met-as
enmetis	en-met-is
enmetita	en-me-t-ita
enmiksi	en-mik-si
enmiksiĝi	en-mik-s-iĝi
enmiksiĝis	en-mik-s-iĝ-is
enmiksiĝo	en-mik-s-iĝo
enmiksis	en-mik-s-is
enpensiĝadis	en-pen-siĝ-ad-is
enpensiĝi	en-pen-siĝi
enpensiĝis	en-pen-siĝ-is
enpreni	en-pre-ni
enprenitaj	en-pre-n-it-aj
enpreno	en-pre-no
enprenu	en-pre-nu
enprofundiĝis	en-pro-fun-d-iĝ-is
ensaluti	en-sa-lu-ti
enspezi	en-spe-zi
enŝlosis	en-ŝlo-s-is
enŝlosita	en-ŝlo-s-ita
enŝpruci	en-ŝpru-ci
enŝvebi	en-ŝve-bi
entenas	en-te-n-as
entenu	en-te-nu
enterigi	en-te-r-igi
enterigita	en-te-r-ig-ita
entreprenanto	en-tre-pre-n-an-to
entreprenas	en-tre-pre-n-as
entrepreni	en-tre-pre-ni
entreprenis	en-tre-pre-n-is
entreprenita	en-tre-pre-n-ita
entreprenitaj	en-tre-pre-n-it-aj
entrepreno	en-tre-pre-no
entreprenoj	en-tre-pre-n-oj
entreprenus	en-tre-pre-n-us
entute	en-tu-te
entuziasmo	en-tuzi-asmo
enuan	enu-an
enui	enui
envenas	en-ve-n-as
envenis	en-ve-n-is
envenon	en-ve-n-on
envenus	en-ve-n-us
enveturi	en-ve-tu-ri
envii	en-vii
envio	en-vio
envion	en-vi-on
epidemia	epi-de-mia
epidemio	epi-de-mio
epilogo	epi-lo-go
episkopo	epi-s-ko-po
epiteto	epi-te-to
epizootio	epi-zoo-tio
epoko	epo-ko
epokoj	epo-k-oj
epsilo	ep-si-lo
erara	era-ra
erare	era-re
erari	era-ri
eraroj	era-r-oj
eraron	era-r-on
erarpaŝon	erar-pa-ŝ-on
erĉjo	er-ĉjo
ergoto	er-go-to
ermito	er-mi-to
erneĉjo	er-ne-ĉjo
eroto	ero-to
erudito	eru-di-to
erupciojn	erup-ci-ojn
escepte	es-cep-te
escepti	es-cep-ti
esceptita	es-cep-t-ita
escepton	es-cep-t-on
esceptos	es-cep-t-os
esenca	esen-ca
esence	esen-ce
esenco	esen-co
esencon	esen-c-on
eskapi	es-ka-pi
esperanta	es-pe-r-an-ta
esperantaj	es-pe-r-an-t-aj
esperantan	es-pe-r-an-t-an
esperante	es-pe-r-an-te
esperantista	es-pe-ran-t-ista
esperantisto	es-pe-ran-t-isto
esperantistoj	es-pe-ran-t-ist-oj
esperanto	es-pe-r-an-to
esperantologio	es-pe-ran-to-lo-gio
esperanton	es-pe-r-an-t-on
esperas	es-pe-r-as
espere	es-pe-re
esperi	es-pe-ri
esperis	es-pe-r-is
espero	es-pe-ro
esploranto	es-plo-r-an-to
esplorantoj	es-plo-r-an-t-oj
esploras	es-plo-r-as
esplori	es-plo-ri
esploris	es-plo-r-is
esplorita	es-plo-r-ita
esploro	es-plo-ro
esploroj	es-plo-r-oj
esploron	es-plo-r-on
esprimadi	es-pri-m-adi
esprimado	es-pri-m-ado
esprimante	es-pri-m-an-te
esprimas	es-pri-m-as
esprimataj	es-pri-m-at-aj
esprimi	es-pri-mi
esprimis	es-pri-m-is
esprimitaj	es-pri-mi-t-aj
esprimmanieroj	es-prim-ma-ni-e-r-oj
esprimo	es-pri-mo
esprimoj	es-pri-m-oj
esprimon	es-pri-m-on
esprimos	es-pri-m-os
establado	es-ta-b-l-ado
establi	es-ta-b-li
establis	es-ta-b-l-is
estanta	es-t-an-ta
estas	es-t-as
estetiko	es-te-ti-ko
esti	es-ti
estigi	es-t-igi
estigitan	es-t-ig-it-an
estiĝas	es-t-iĝ-as
estimata	es-ti-m-ata
estimataj	es-ti-m-at-aj
estimi	es-ti-mi
estimo	es-ti-mo
estingi	es-tin-gi
estingo	es-tin-go
estinta	es-t-in-ta
estis	es-t-is
estonta	es-t-onta
estontaj	es-t-ont-aj
estontajn	es-t-ont-ajn
estontaĵo	es-ton-t-aĵo
estontan	es-t-ont-an
estonte	es-t-onte
estonteco	es-ton-t-eco
estontecon	es-ton-t-ec-on
estontoj	es-t-ont-oj
estontojn	es-t-ont-ojn
estonton	es-t-ont-on
estos	es-t-os
estraro	es-tr-aro
estro	es-tro
estu	es-tu
estus	es-t-us
etaĝo	eta-ĝo
etan	et-an
etapo	eta-po
etato	eta-to
etendi	eten-di
eterna	eter-na
eterne	eterne
etilo	eti-lo
etŝpura	et-ŝpu-ra
etulino	et-ul-ino
eŭklido	eŭ-kli-do
eŭropa	eŭ-ro-pa
eŭropaj	eŭ-ro-p-aj
eŭropanoj	eŭ-ro-pa-n-oj
eŭropo	eŭ-ro-po
evento	even-to
eventuala	even-tu-a-la
eventualaj	even-tu-a-l-aj
evidenta	evi-den-ta
evidentan	evi-den-t-an
evidente	evi-den-te
evidentiĝos	evi-den-t-iĝ-os
eviti	evi-ti
evito	evi-to
evitu	evi-tu
evolui	evo-lui
ezoko	ezo-ko
fabelo	fa-be-lo
fabo	fa-bo
fabriko	fab-ri-ko
faceto	fa-c-eto
facila	fa-ci-la
facilan	fa-ci-l-an
facile	fa-ci-le
facileco	fa-ci-l-eco
facilecon	fa-ci-l-ec-on
faciligo	fa-ci-l-igo
faciligoj	fa-ci-l-ig-oj
faciligon	fa-ci-l-ig-on
faciligos	fa-ci-l-ig-os
faco	fa-co
fadeno	fa-de-no
fago	fa-go
fagoto	fa-go-to
fajenco	fa-jen-co
fajfi	faj-fi
fajfilo	faj-f-ilo
fajrero	faj-re-ro
fajro	faj-ro
fakaj	fa-k-aj
fakgazeto	fak-ga-z-eto
fakgrupo	fak-gru-po
fakĵargono	fak-ĵar-go-no
fako	fa-ko
faktan	fak-t-an
fakte	fak-te
fakto	fak-to
faktoj	fak-t-oj
fakton	fak-t-on
faktoto	fak-to-to
fakulo	fa-k-ulo
fakultatoj	fa-kul-ta-t-oj
falas	fa-l-as
falĉi	fal-ĉi
falĉilo	fal-ĉ-ilo
faleti	fa-l-eti
fali	fa-li
faligi	fa-ligi
falis	fa-l-is
falsa	falsa
falsafiksajn	fals-a-fik-s-ajn
falsaj	fals-aj
falsan	fals-an
falseto	fal-se-to
falsetulo	fal-se-t-ulo
falsidas	fal-si-d-as
falsĵuro	fals-ĵu-ro
falslanga	fals-lan-ga
falstelo	fal-ste-lo
falus	fa-l-us
fama	fa-ma
familia	fa-mi-lia
familiara	fa-mi-li-ara
familio	fa-mi-lio
famoj	fa-m-oj
fandi	fan-di
fandodrato	fan-do-dra-to
fanfaronante	fan-fa-ro-n-an-te
fanfaroni	fan-fa-ro-ni
fantazian	fan-ta-zi-an
fantaziistoj	fan-ta-zi-ist-oj
fantazio	fan-ta-zio
fantazion	fan-ta-zi-on
fantaziuloj	fan-ta-zi-ul-oj
fantomino	fan-to-mi-no
fantomo	fan-to-mo
fantomoj	fan-to-m-oj
faradi	fa-r-adi
faradis	fa-r-ad-is
faras	fa-r-as
farataj	fa-r-at-aj
farbo	far-bo
farebla	fa-r-eb-la
fari	fa-ri
fariĝados	fa-r-iĝ-ad-os
fariĝas	fa-r-iĝ-as
fariĝi	fa-r-iĝi
fariĝis	fa-r-iĝ-is
fariĝos	fa-r-iĝ-os
fariĝus	fa-r-iĝ-us
faringo	fa-rin-go
farino	fa-ri-no
farinta	fa-r-in-ta
faris	fa-r-is
farita	fa-r-ita
faritaj	fa-r-it-aj
farmi	far-mi
faros	fa-r-os
farti	far-ti
fartis	far-t-is
faru	fa-ru
faruno	fa-ru-no
farus	fa-r-us
fasado	fa-sa-do
fascini	fa-sci-ni
fasko	fa-s-ko
fasono	fa-so-no
fasti	fa-s-ti
faŭko	faŭ-ko
favora	fa-vo-ra
favorkoruloj	fa-vor-ko-r-ul-oj
fazano	fa-za-no
fazeolo	fa-ze-o-lo
febla	fe-b-la
febro	fe-bro
februaro	fe-bru-aro
feĉo	fe-ĉo
federacio	fe-de-ra-cio
feino	fe-i-no
feliĉa	fe-li-ĉa
feliĉe	fe-li-ĉe
feliĉigi	fe-li-ĉ-igi
feliĉvizaĝa	fe-liĉ-vi-zaĝa
felietonisto	fe-li-e-to-n-isto
felo	fe-lo
felto	fel-to
fendo	fen-do
fenestro	fe-ne-s-t-ro
fenestrokovriloj	fe-ne-s-t-ro-kov-ril-oj
fenestron	fe-ne-s-t-r-on
fenomeno	fe-no-me-no
ferio	fe-rio
fermadis	ferm-ad-is
fermi	fermi
fermiĝis	ferm-iĝ-is
fermitaj	ferm-it-aj
fero	fe-ro
feron	fe-r-on
fervojo	fer-vo-jo
fervojoj	fer-vo-j-oj
fervora	fer-vo-ra
fervoraj	fer-vo-r-aj
fervoreco	fer-vo-r-eco
fervoro	fer-vo-ro
festĉambrego	fest-ĉam-bre-go
festeni	fes-te-ni
festi	fes-ti
fiakro	fi-akro
fianĉiĝi	fi-an-ĉ-iĝi
fianĉino	fi-an-ĉi-no
fianĉo	fi-an-ĉo
fiasko	fi-asko
fidas	fi-d-as
fidela	fi-de-la
fidi	fi-di
fidinda	fi-d-inda
fido	fido
fiera	fi-e-ra
fieraj	fi-e-r-aj
figarbo	fig-arbo
figĝardeno	fig-ĝar-de-no
figo	fi-go
figu	fi-gu
figuro	fi-gu-ro
fikcio	fik-cio
fiksado	fiks-ado
fiksangulo	fiks-an-gu-lo
fiksas	fiks-as
fiksi	fiksi
fiksideulo	fiks-ide-ulo
fikskomo	fiks-ko-mo
fikslarĝa	fiks-lar-ĝa
fikspunkta	fiks-punk-ta
fiksrigardi	fiks-ri-gar-di
filario	fi-la-rio
filatelisto	fi-la-te-l-isto
filino	fi-li-no
filinon	fi-li-n-on
filmo	fil-mo
filo	fi-lo
filoj	fi-l-oj
filozofadi	fi-lo-zo-f-adi
filozofia	fi-lo-zo-fia
filozofio	fi-lo-zo-fio
filozofo	fi-lo-zo-fo
fina	fi-na
finaĵo	fi-n-aĵo
finaĵoj	fi-n-aĵ-oj
financaj	fi-nan-c-aj
financo	fi-nan-co
finanta	fi-n-an-ta
fine	fine
finfine	fin-fine
fingretoj	fin-gret-oj
fingro	fin-gro
fingroj	fin-gr-oj
fini	fi-ni
finiĝadi	fi-n-iĝ-adi
finiĝadis	fi-n-iĝ-ad-is
finiĝas	fi-n-iĝ-as
finiĝi	fi-n-iĝi
finiĝis	fi-n-iĝ-is
finiĝo	fi-n-iĝo
finiĝoj	fi-n-iĝ-oj
finis	fi-n-is
finita	fi-n-ita
finitan	fi-n-it-an
finno	fin-no
fino	fi-no
finos	fi-n-os
finto	fin-to
firma	fir-ma
firman	fir-m-an
firmo	fir-mo
fistulo	fi-s-tu-lo
fiŝhoko	fiŝ-ho-ko
fiŝkaptisto	fiŝ-kap-t-isto
fiŝo	fiŝo
fiŝoleo	fiŝ-oleo
fiŝviando	fiŝ-vi-an-do
fiŝvosto	fiŝ-vo-s-to
Fitzgerald	fitz-ge-rald
fizikisto	fi-zi-k-isto
fiziko	fi-zi-ko
fiziologiaj	fi-zio-lo-gi-aj
flago	fla-go
flagri	fla-gri
flamĵetantaj	flam-ĵe-t-an-t-aj
flamo	fla-mo
flankaj	flan-k-aj
flankaparato	flan-k-apa-ra-to
flanke	flan-ke
flanken	flan-ken
flankkurteno	flank-kur-te-no
flanko	flan-ko
flankoj	flan-k-oj
flankon	flan-k-on
flari	fla-ri
flatakiri	fla-t-akiri
flata	flata
flati	fla-ti
flava	fla-va
flavharaj	flav-har-aj
flegi	fle-gi
flegistajn	fle-g-ist-ajn
flegiste	fle-g-iste
flegistina	fle-g-ist-ina
flegistinaj	fle-g-ist-in-aj
flegistinajn	fle-g-ist-in-ajn
flegistinan	fle-g-ist-in-an
flegistine	fle-g-ist-ine
flegistino	fle-g-ist-ino
flegistinoj	fle-g-ist-in-oj
flegistinojn	fle-g-ist-in-ojn
flegistinon	fle-g-ist-in-on
flegistojn	fle-g-ist-ojn
flego	fle-go
fleksebla	flek-s-eb-la
fleksebleco	flek-s-eb-l-eco
flekseblecon	flek-s-eb-l-ec-on
fleksi	flek-si
fleksloko	fleks-lo-ko
fliki	fli-ki
flirti	flir-ti
floraranĝo?	flo-r-aran-ĝo
floras	flo-r-as
flori	flo-ri
florido	flo-ri-do
floro	flo-ro
florpoto	flor-po-to
flosligno	flos-lig-no
floslinio	flos-li-nio
floso	flo-so
floto	flo-to
flue	flue
flugado	flu-g-ado
flughaveno	flug-ha-ve-no
flugi	flu-gi
flugilo	flu-g-ilo
flugis	flu-g-is
flugos	flu-g-os
flugpendantaj	flug-pen-d-an-t-aj
flugsciuro	flug-sci-uro
flugu	flu-gu
flui	flui
fluidaĵo	flu-i-d-aĵo
fluidiĝi	flu-i-d-iĝi
fluido	flu-ido
flustri	flu-s-tri
foiro	fo-iro
foje	foje
fojno	foj-no
fojo	fojo
fojoj	foj-oj
fojon	foj-on
fokstroto	foks-tro-to
foliaranĝo	fo-li-aran-ĝo
folietoj	fo-li-et-oj
folio	fo-lio
fonda	fon-da
fonde	fon-de
fondi	fon-di
fondita	fon-d-ita
fonditaj	fon-d-it-aj
fonditan	fon-d-it-an
fonemo	fo-ne-mo
fonografo	fo-no-gra-fo
fontano	fon-ta-no
fonto	fon-to
fora	fora
foraj	for-aj
forblovi	for-blo-vi
fordonas	for-do-n-as
fore	fore
foren	for-en
foresti	for-es-ti
forflugi	for-flu-gi
forgesas	for-ge-s-as
forgesi	for-ge-si
forgesis	for-ge-s-is
forgesos	for-ge-s-os
forgesu	for-ge-su
forĝi	for-ĝi
fori	fori
forigi	for-igi
forinto	fo-rin-to
foriras	for-ir-as
foriri	for-iri
foririntaj	for-ir-in-t-aj
foriris	for-ir-is
foriros	for-ir-os
foriru	for-iru
forĵetis	for-ĵe-t-is
forĵetu	for-ĵe-tu
forko	for-ko
forkonduki	for-kon-du-ki
forkuras	for-ku-r-as
forkuri	for-ku-ri
forkuris	for-ku-r-is
forkuru	for-ku-ru
forlasita	for-la-s-ita
forlasitan	for-la-s-it-an
forlasos	for-la-s-os
formas	for-m-as
formato	for-ma-to
formeto	for-me-to
formi	for-mi
formiko	for-mi-ko
formo	for-mo
formoj	for-m-oj
formon	for-m-on
formularo	for-mu-la-ro
formulo	for-mu-lo
fornelo	for-ne-lo
forno	for-no
foro	foro
forojn	for-ojn
foron	for-on
foros	for-os
forpeli	for-pe-li
forpermesi	for-per-me-si
forporti	for-por-ti
forportis	for-por-t-is
forpreni	for-pre-ni
forprenis	for-pre-n-is
forprenu	for-pre-nu
forsmirgi	for-smir-gi
forstreki	for-stre-ki
forsvenis	for-sve-n-is
forŝvebis	for-ŝve-b-is
forta	for-ta
fortakvo?	for-t-ak-vo
fortan	for-t-an
forte	for-te
fortepiano	for-te-pi-ano
fortepianon	for-te-pi-an-on
fortigado	for-t-ig-ado
fortiĝinta	for-t-iĝ-in-ta
fortiĝintaj	for-t-iĝ-in-t-aj
fortika	for-ti-ka
fortikaj	for-ti-k-aj
fortikaĵo	for-ti-k-aĵo
fortikiĝus	for-ti-k-iĝ-us
forto	for-to
fortoj	for-t-oj
forton	for-t-on
fortulo	for-t-ulo
forturni	for-tur-ni
forturnis	for-tur-n-is
forumo	fo-ru-mo
foruzita	for-uz-ita
forveturas	for-ve-tu-r-as
forveturos	for-ve-tu-r-os
fosilo	fo-s-ilo
fosto	fo-s-to
fotelo	fo-te-lo
foto	fo-to
fotografaĵo	fo-to-gra-f-aĵo
fotografi	fo-to-gra-fi
fotografisto	fo-to-gra-f-isto
fotokopii	fo-to-ko-pii
fotokopio	fo-to-ko-pio
fotokopion	fo-to-ko-pi-on
fragila	fra-g-ila
frago	fra-go
frakasi	fra-ka-si
frako	fra-ko
frambkolora	framb-ko-lo-ra
frambo	fram-bo
franca	fran-ca
français	fra-nça-is
francaj	fran-c-aj
franclingvaj	franc-lin-g-v-aj
franco	fran-co
frandaĵo	fran-d-aĵo
frandi	fran-di
franko	fran-ko
frapado	fra-p-ado
frapados	fra-p-ad-os
frapante	fra-p-an-te
frapi	fra-pi
frataro	fra-t-aro
fratecon	fra-t-ec-on
fratino	fra-ti-no
frato	fra-to
fraŭla	fraŭ-la
fraŭlino	fraŭ-li-no
fraŭlo	fraŭ-lo
frazaranĝo	fraz-aran-ĝo
frazelemento	fraz-ele-mento
frazeologio	fra-zeo-lo-gio
frazistan	fraz-ist-an
frazistoj	fraz-ist-oj
frazo	frazo
frazoj	fraz-oj
frazon	fraz-on
frekventi	fre-k-ven-ti
fremda	frem-da
fremdaj	frem-d-aj
fremdaĵoj	frem-d-aĵ-oj
fremdan	frem-d-an
fremdlandano	fremd-lan-da-no
fremdlingva	fremd-lin-g-va
fremdulo	frem-d-ulo
freneza	fre-ne-za
frenezaj	fre-ne-z-aj
frenezuloj	fre-ne-z-ul-oj
freŝa	freŝa
freŝdataj	freŝ-dat-aj
freŝgrado	freŝ-gra-do
freŝvianda	freŝ-vi-an-da
freŝvoĉa	freŝ-vo-ĉa
frida	fri-da
frigido	fri-gi-do
fringo	frin-go
fripono	fri-po-no
friti	fri-ti
fritilario	fri-ti-la-rio
frito	fri-to
frizi	fri-zi
fromaĝo	fro-ma-ĝo
frontita	fron-t-ita
fronto	fron-to
frosta	fro-s-ta
frostas	fro-s-t-as
frosto	fro-s-to
frotado	fro-t-ado
froti	fro-ti
froto	fro-to
frua	frua
fruaj	fru-aj
frue	frue
fruktaĵo	fruk-t-aĵo
fruktĝardeno	frukt-ĝar-de-no
frukto	fruk-to
fruktoj	fruk-t-oj
frukton	fruk-t-on
fruktoscienco	fruk-to-sci-en-co
frunto	frun-to
fuĝi	fu-ĝi
fulgo	ful-go
fulmo	ful-mo
fulo	fu-lo
fumo	fu-mo
funda	fun-da
fundamenta	fun-da-men-ta
fundamentaj	fun-da-men-t-aj
fundamentecon	fun-da-men-t-ec-on
fundamento	fun-da-men-to
fundamentoj	fun-da-men-t-oj
fundamenton	fun-da-men-t-on
fundo	fun-do
funebro	fu-ne-bro
funelo	fu-ne-lo
fungo	fun-go
fungoj	fun-g-oj
funkcias	funk-ci-as
funkcio	funk-cio
funkcioj	funk-ci-oj
funkcion	funk-ci-on
funto	fun-to
furaĝo	fu-ra-ĝo
furioza	fu-ri-o-za
furiozaj	fu-ri-o-z-aj
furioze	fu-ri-o-ze
fusilo	fu-si-lo
fuŝa	fuŝa
fuŝe	fuŝe
fuŝemaj	fuŝ-em-aj
fuŝi	fuŝi
fuŝis	fuŝ-is
fuŝita	fuŝ-ita
fuŝpalpi	fuŝ-pal-pi
fuŝparoli	fuŝ-pa-roli
gaja	ga-ja
gajhumora	gaj-hu-mo-ra
gajni	gaj-ni
gajnus	gaj-n-us
gajvizaĝajn	gaj-vi-zaĝ-ajn
galantino	ga-lan-ti-no
galanto	ga-lan-to
galinulo	ga-li-nu-lo
galo	ga-lo
galoŝfabrikistoj	ga-loŝ-fab-ri-k-ist-oj
galoŝo	ga-lo-ŝo
galvano	gal-va-no
gambito	gam-bi-to
ganto	gan-to
garaĝo	ga-ra-ĝo
garantiaĵo	ga-ran-ti-aĵo
garantias	ga-ran-ti-as
garantii	ga-ran-tii
garantiulo	ga-ran-ti-ulo
garbo	garbo
gardanto	gar-d-an-to
gardas	gar-d-as
gardi	gar-di
gardis	gar-d-is
gardos	gar-d-os
gardostaris	gar-do-sta-r-is
gardostaro	gar-do-sta-ro
gargaro	gar-ga-ro
garni	gar-ni
gasakvo?	ga-s-ak-vo
gaso	ga-so
gasrezervujo	gas-re-zer-v-ujo
gasto	ga-s-to
gavoto	ga-vo-to
gazeta	ga-ze-ta
gazeto	ga-ze-to
gazetoj	ga-ze-t-oj
geedzoj	ge-edz-oj
gefianĉoj	ge-fi-an-ĉ-oj
gefratoj	ge-fra-t-oj
gejunuloj	ge-jun-ul-oj
gejŝejo	gej-ŝ-ejo
geknaboj	ge-kna-b-oj
gela	ge-la
gelateno	ge-la-te-no
gelo	ge-lo
gemastroj	ge-ma-s-tr-oj
generacio	ge-ne-ra-cio
generacioj	ge-ne-ra-ci-oj
generalo	ge-ne-ra-lo
genio	ge-nio
genisto	ge-ni-s-to
genocido	ge-no-ci-do
genro	gen-ro
gento	gen-to
genuo	ge-nuo
geografio	geo-gra-fio
gepatra	ge-pa-tra
gepatroj	ge-pa-tr-oj
gerda	ger-da
gerdan	ger-d-an
germana	ger-ma-na
germanaj	ger-ma-n-aj
germanan	ger-ma-n-an
germano	ger-ma-no
germanujo	ger-ma-n-ujo
gesinjoroj	ge-sin-jor-oj
gesti	ges-ti
gestudentoj	ge-stu-den-t-oj
giganto	gigan-to
gimnastikaj	gim-na-s-ti-k-aj
gimnazioj	gim-na-zi-oj
girlando	gir-lan-do
gisto	gi-s-to
gitaro	gi-ta-ro
glaciaĵo	gla-ci-aĵo
glaciigi	gla-ci-igi
glacio	gla-cio
gladi	gladi
glasa	gla-sa
glaseto	gla-s-eto
glaso	gla-so
glasoj	gla-s-oj
glason	gla-s-on
glasrando	glas-ran-do
glata	gla-ta
glavdenta	glav-den-ta
glavo	gla-vo
gliti	gli-ti
glitilo	gli-t-ilo
glito	gli-to
glitveturilo	glit-ve-tu-r-ilo
globforma	glob-for-ma
globo	glo-bo
globzono	glob-zo-no
gloraj	glo-r-aj
gloro	glo-ro
gluo	gluo
gluti	glu-ti
gobio	go-bio
goĥŝtejn	goĥ-ŝtejn
golfo	gol-fo
golgoto	gol-go-to
gorĝo	gor-ĝo
gorilo	go-ri-lo
goto	go-to
gracia	gra-cia
grado	gra-do
gradon	gra-d-on
grafemoj	gra-fe-m-oj
grafito	gra-fi-to
grajno	graj-no
gramatika	gra-ma-ti-ka
gramatikaj	gra-ma-ti-k-aj
gramatikaĵoj	gra-ma-ti-k-aĵ-oj
gramatikan	gra-ma-ti-k-an
gramatikiloj	gra-ma-ti-k-il-oj
gramatiko	gra-ma-ti-ko
gramatikon	gra-ma-ti-k-on
gramo	gra-mo
granato	gra-na-to
granda	granda
grandaj	grand-aj
grandan	grand-an
grandceremonian	grand-ce-re-mo-ni-an
grandanima	grand-a-ni-ma
grandaĝulo	grand-a-ĝ-ulo
grandeco	grand-eco
grandega	grand-ega
grandegaj	grand-eg-aj
grandegan	grand-eg-an
grandioza	gran-di-o-za
granduloj	grand-ul-oj
granito	gra-ni-to
granulo	gra-nu-lo
grasa	gra-sa
graso	gra-so
grati	gra-ti
gratulas	gra-tu-l-as
gratuli	gra-tu-li
gratulo	gra-tu-lo
graŭli	graŭ-li
grava	gra-va
gravaj	gra-v-aj
gravan	gra-v-an
gravas	gra-v-as
gravaspektan	gra-vas-pek-t-an
grave	gra-ve
graveco	gra-v-eco
gravecon	gra-v-ec-on
graveda	gra-ve-da
gravito	gra-vi-to
gravmiene	grav-mi-ene
gravo	gra-vo
gravtone	grav-tone
gravuloj	gra-v-ul-oj
grego	gre-go
grekan	gre-k-an
grenejo	gre-n-ejo
greno	gre-no
grenobla	gre-no-b-la
grilo	gri-lo
grimaci	gri-ma-ci
grimpi	grim-pi
grinci	grin-ci
gripo	gri-po
griza	gri-za
grizbarbulo	griz-bar-b-ulo
grizfela	griz-fe-la
grizhara	griz-hara
groto	gro-to
grumbli	grum-bli
grumo	gru-mo
grundo	grun-do
gruo	gruo
grupe	gru-pe
grupigo	gru-p-igo
grupo	gru-po
grupoj	gru-p-oj
grupon	gru-p-on
gruzglacio	gruz-gla-cio
gudro	gu-dro
gumo	gu-mo
gusto	gu-s-to
gustumi	gu-s-t-umi
guto	gu-to
gvardio	gvar-dio
gvidadis	gvi-d-ad-is
gvidi	gvi-di
gvidis	gvi-d-is
gvido	gvi-do
gvidus	gvi-d-us
ĝardeno	ĝar-de-no
ĝemas	ĝe-m-as
ĝemelo	ĝe-me-lo
ĝememi	ĝe-m-emi
ĝemi	ĝe-mi
ĝenas	ĝe-n-as
ĝendarmo	ĝen-dar-mo
ĝenerala	ĝe-ne-ra-la
ĝeneralaj	ĝe-ne-ra-l-aj
ĝenerale	ĝe-ne-ra-le
ĝeni	ĝe-ni
ĝenis	ĝe-n-is
ĝentila	ĝen-ti-la
ĝentileco	ĝen-ti-l-eco
ĝermo	ĝer-mo
ĝia	ĝia
ĝiaj	ĝiaj
ĝian	ĝian
ĝiavoje	ĝia-vo-je
ĝibo	ĝi-bo
ĝin	ĝin
ĝis	ĝis
ĝisfunde	ĝis-fun-de
ĝisnunaj	ĝis-nu-n-aj
ĝisvivos	ĝis-vi-v-os
ĝojas	ĝo-j-as
ĝoje	ĝo-je
ĝoji	ĝo-ji
ĝojis	ĝoj-is
ĝojo	ĝo-jo
ĝuas	ĝu-as
ĝusta	ĝu-s-ta
ĝustaj	ĝu-s-t-aj
ĝustan	ĝu-s-t-an
ĝustatempe	ĝu-s-ta-tem-pe
ĝuste	ĝu-s-te
hajlo	haj-lo
haki	ha-ki
hakilo	ha-k-ilo
haladzon	ha-la-d-z-on
haleluja	ha-le-lu-ja
halo	ha-lo
haltas	hal-t-as
haltejo	hal-t-ejo
halti	hal-ti
haltos	hal-t-os
Hamleto	ham-leto
hangaro	han-g-aro
harakiro	ha-ra-kiro
